# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	49298
#@/user_id	stella
a 	啊	c=109 d=5.39376 t=49298
a 	阿	c=0 d=8.48472e-10 t=49298
a e 	啊額	c=-1 d=1.50395e-07 t=49298
a ge san chong jie 	阿閣三重階	c=1 d=8.52724e-09 t=49298
a li 	阿里	c=3 d=0.902669 t=49298
a re 	啊熱	c=-1 d=1.51149e-07 t=49298
a tuo pin 	阿托品	c=1 d=1.99059e-11 t=49298
a za ye 	啊雜業	c=-1 d=0 t=49298
ai 	哀	c=0 d=8.87533e-10 t=49298
ai 	埃	c=0 d=1.85123e-11 t=49298
ai 	愛	c=4 d=2.34125 t=49298
ai 	癌	c=0 d=0.0771198 t=49298
ai hao zhe 	愛好者	c=1 d=0.130029 t=49298
ai ji 	埃及	c=1 d=0.313486 t=49298
ai ji yin 	癌基因	c=3 d=0.000765291 t=49298
ai qing 	愛情	c=1 d=0.355226 t=49298
ai ren 	愛人	c=1 d=0.951229 t=49298
ai su 	哀訴	c=-1 d=0 t=49298
ai wu sheng zhi xu yu 	哀吾生之須臾	c=1 d=1.12031e-13 t=49298
ai yu 	愛與	c=-1 d=1.45222e-07 t=49298
ai zai 	哀哉	c=0 d=0.0767206 t=49298
ai zai xi yuan qian 	愛在西元前	c=1 d=0.0731678 t=49298
ai zai xian di shao hai yu 	哀哉獻帝紹海宇	c=3 d=2.7584 t=49298
ai zhuo 	捱着	c=1 d=0.400517 t=49298
an 	俺	c=60 d=2.90698 t=49298
an 	安	c=3 d=0.767206 t=49298
an 	按	c=37 d=1.76947 t=49298
an 	暗	c=0 d=2.53753e-15 t=49298
an 	案	c=1 d=0.763379 t=49298
an 	氨	c=1 d=1.56685e-06 t=49298
an 	胺	c=0 d=0.0395233 t=49298
an 	鞍	c=0 d=2.62791e-15 t=49298
an bang 	安邦	c=1 d=0.818731 t=49298
an chao 	暗潮	c=1 d=0.092089 t=49298
an dao 	按到	c=1 d=0.0235177 t=49298
an de 	俺的	c=1 d=0.316637 t=49298
an de 	安得	c=0 d=1.54282e-14 t=49298
an die 	俺爹	c=4 d=1.66472 t=49298
an fu 	安撫	c=1 d=0.199888 t=49298
an gui ding 	按規定	c=1 d=0.822835 t=49298
an hai er 	俺孩兒	c=1 d=0.748264 t=49298
an ji 	氨基	c=4 d=0.19292 t=49298
an ji jia suan zhi lei 	氨基甲酸酯類	c=1 d=1.95118e-11 t=49298
an ji pu tao tang 	氨基葡萄糖	c=0 d=0.0364219 t=49298
an ji suan 	氨基酸	c=71 d=2.77818 t=49298
an ji suan can ji 	氨基酸殘基	c=5 d=0.155673 t=49298
an ji suan chi 	氨基酸池	c=1 d=2.94718e-10 t=49298
an ji suan dai xie 	氨基酸代謝	c=1 d=3.60779e-07 t=49298
an ji suan di 	氨基酸第	c=-1 d=5.42595e-14 t=49298
an ji suan mo shi 	氨基酸模式	c=2 d=5.49594e-10 t=49298
