# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2215
#@/user_id	stella
aa 	式	c=1 d=0.970446 t=2215
ad puj 	基宰	c=-1 d=0 t=2215
adpu 	其实	c=3 d=0.84118 t=2215
aduj 	期间	c=1 d=0.130029 t=2215
adwb 	其他	c=1 d=0.0117959 t=2215
afl 	勒	c=2 d=1.99501 t=2215
agpf 	莱塞	c=-1 d=0 t=2215
ahko 	熙	c=1 d=0.318224 t=2215
ahnm 	牙刷	c=1 d=0.0337087 t=2215
ai 	东	c=2 d=1.07858 t=2215
ajdj 	暮	c=1 d=0.965605 t=2215
aldn 	蒽	c=2 d=1.9216 t=2215
alt 	菌	c=1 d=0.980199 t=2215
alw 	苏	c=1 d=0.873716 t=2215
amd 	英	c=1 d=0.913931 t=2215
amyg 	英语	c=1 d=0.543351 t=2215
amyy 	英文	c=2 d=0.557762 t=2215
apg 	蒙	c=17 d=3.71588 t=2215
aqgb 	茚	c=1 d=0.995012 t=2215
aqog 	敬业	c=3 d=0.0341912 t=2215
aqtb 	茆	c=1 d=0.955997 t=2215
aqwv 	区分	c=1 d=0.496585 t=2215
asg 	苯	c=1 d=0.960789 t=2215
atbp 	医院	c=1 d=0.755784 t=2215
atet 	医用	c=1 d=0.65377 t=2215
atip 	医学	c=2 d=0.906277 t=2215
attg 	医生	c=1 d=0.305746 t=2215
avk 	茹	c=1 d=0.900325 t=2215
aw 	共	c=1 d=0.99005 t=2215
awf 	蔡	c=2 d=0.272736 t=2215
awnu 	薛	c=1 d=0.97531 t=2215
aws 	茶	c=1 d=0.251579 t=2215
awsg 	茶杯	c=1 d=0.190139 t=2215
awuf 	荷兰	c=1 d=0.278037 t=2215
ayav 	蘑菇	c=1 d=0.794534 t=2215
b 	了	c=54 d=6.55231 t=2215
bai 	陈	c=1 d=0.0623495 t=2215
bc 	取	c=1 d=0.282239 t=2215
bchq 	聚餐	c=1 d=0.0441572 t=2215
bdlw 	承办	c=1 d=0.0450492 t=2215
bdsm 	随机	c=1 d=0.0145524 t=2215
bduj 	随意	c=1 d=0.433874 t=2215
bdxx 	随缘	c=1 d=0.0157644 t=2215
beg 	阴	c=1 d=0.0430669 t=2215
bfm 	陆	c=1 d=0.980199 t=2215
bg 	卫	c=1 d=0.506617 t=2215
bghg 	耳	c=2 d=0.99005 t=2215
bgtg 	卫生	c=1 d=0.740818 t=2215
bi de i 	孙胡不	c=-1 d=0 t=2215
bm 	出	c=5 d=0.130687 t=2215
bmgo 	出来	c=4 d=0.362212 t=2215
bmnt 	出发	c=2 d=0.117542 t=2215
bmuy 	出门	c=1 d=0.112478 t=2215
bn 	也	c=15 d=1.43014 t=2215
bsk 	阿	c=1 d=0.932394 t=2215
bwt 	除	c=1 d=0.00852289 t=2215
c 	以	c=1 d=0.45612 t=2215
