# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
ai1 	唉	c=1 d=0.382893 t=12045
ai1 zai1 xan4 di4 shau2 hai3 yu3 	哀哉獻帝紹海宇	c=1 d=0.782705 t=12045
ai4 lun2 	艾倫	c=0 d=0.0117655 t=12045
ai4 ya1 	哎呀	c=1 d=0.0871609 t=12045
an1 fu3 	安撫	c=3 d=1.33521 t=12045
an1 gue1 	安國	c=1 d=0.865022 t=12045
an1 ji1 suan1 	氨基酸	c=11 d=2.56029 t=12045
an1 shy3 zhy1 luan4 	安史之亂	c=1 d=0.275271 t=12045
an3 	俺	c=25 d=3.7209 t=12045
an3 die1 	俺爹	c=2 d=0.32628 t=12045
an3 lia3 	俺倆	c=1 d=0.382893 t=12045
an4 	按	c=12 d=1.99903 t=12045
an4 dau4 	按到	c=1 d=0.408608 t=12045
an4 jan4 	按鍵	c=10 d=2.03686 t=12045
an4 xa4 	按下	c=3 d=0.326487 t=12045
an4 xa4 qu4 	按下去	c=1 d=0.594521 t=12045
an4 zhau4 	按照	c=3 d=0.84232 t=12045
au2 	熬	c=1 d=0.574072 t=12045
ba1 	吧	c=43 d=3.62576 t=12045
ba1 je1 	巴結	c=2 d=0.00980029 t=12045
ba3 	把	c=10 d=0.839457 t=12045
ba3 ni3 	把你	c=1 d=0.0122161 t=12045
ba4 	靶	c=0 d=0.0241714 t=12045
ba4 ma1 	爸媽	c=1 d=0.494109 t=12045
ba4 si4 bau1 	靶細胞	c=4 d=0.849073 t=12045
ba4 ye1 tu2 wang2 zai4 tian1 fu3 	霸業圖王在天府	c=1 d=0.895834 t=12045
bai3 tuo1 	擺脫	c=1 d=0.000515692 t=12045
bai4 	唄	c=8 d=1.08769 t=12045
ban3 	版	c=3 d=0.579115 t=12045
ban3 bau3 liou2 	版保留	c=-1 d=0 t=12045
ban3 ben3 	版本	c=6 d=4.46205 t=12045
ban3 ben3 hau4 	版本號	c=1 d=0.955997 t=12045
ban3 deng4 	板凳	c=0 d=0.0062662 t=12045
ban4 	半	c=0 d=0.105789 t=12045
ban4 bau3 liou2 	半保留	c=1 d=0.985112 t=12045
ban4 bau3 liou2 fu1 zhy4 	半保留複製	c=1 d=0.0735345 t=12045
ban4 bu1 lian2 siu2 	半不連續	c=1 d=0.0403566 t=12045
ban4 bu1 lian2 siu2 sing4 	半不連續性	c=1 d=0.0800583 t=12045
ban4 geo4 	半個	c=1 d=0.0295994 t=12045
ban4 guang1 an1 suan1 	半胱氨酸	c=1 d=0.245367 t=12045
ban4 shuai1 qi2 	半衰期	c=1 d=0.0471227 t=12045
ban4 sui2 	伴隨	c=1 d=9.37546e-07 t=12045
ban4 ye4 li3 	半夜裏	c=2 d=1.84582 t=12045
bang1 chen4 	幫襯	c=1 d=0.218712 t=12045
bang1 wo3 	幫我	c=1 d=0.357007 t=12045
bang3 ding4 	綁定	c=0 d=0.0400517 t=12045
bang3 ding4 dau4 	綁定到	c=1 d=0.402524 t=12045
bau1 	包	c=6 d=1.12407 t=12045
bau1 guo1 	包括	c=8 d=1.27579 t=12045
bau1 han2 	包含	c=1 d=0.559898 t=12045
bau1 pi2 	包皮	c=1 d=0.205668 t=12045
bau1 zhy1 	胞質	c=1 d=0.280832 t=12045
bau3 	保	c=0 d=0.0211189 t=12045
bau3 cun2 	保存	c=1 d=0.20089 t=12045
bau3 hu4 	保護	c=2 d=1.88825 t=12045
bau3 liou2 	保留	c=0 d=0.0980199 t=12045
bau3 liou2 xa4 lai2 	保留下來	c=1 d=0.0699482 t=12045
bau3 luo2 	保羅	c=1 d=0.111917 t=12045
bau3 shou3 	保守	c=1 d=0.271799 t=12045
bau3 shou3 sing4 	保守性	c=2 d=0.305721 t=12045
bau3 shou3 siu4 lie1 	保守序列	c=1 d=0.467666 t=12045
bau3 siang1 	寶箱	c=1 d=0.226502 t=12045
bau3 zhen1 sing4 	保真性	c=2 d=0.442174 t=12045
bau3 zheng4 	保證	c=4 d=0.801147 t=12045
bau4 	報	c=1 d=0.14808 t=12045
bau4 ming2 	報名	c=6 d=1.57981 t=12045
be1 shy2 	百十	c=1 d=0.904837 t=12045
be2 dai4 	白帶	c=1 d=0.414783 t=12045
be2 di4 tuo1 gu1 kan1 	白帝託孤堪	c=-1 d=0 t=12045
be2 di4 tuo1 gu1 kan1 tung4 chu3 	白帝託孤堪痛楚	c=1 d=0.904837 t=12045
be2 si4 bau1 	白細胞	c=3 d=1.93356 t=12045
be2 si4 bau1 fen1 hua4 kang2 yuan2 	白細胞分化抗原	c=1 d=0.481909 t=12045
be2 si4 bau1 jai4 su4 	白細胞介素	c=2 d=0.449621 t=12045
be2 si4 bau1 jan4 	白細胞間	c=-1 d=0.2334 t=12045
bei1 ji4 ben3 	筆記本	c=2 d=0.613784 t=12045
bei1 jing1 	北京	c=1 d=0.594521 t=12045
bei1 men2 	北門	c=3 d=0.860708 t=12045
bei1 wa1 	卑窪	c=-1 d=0 t=12045
bei4 	背	c=1 d=0.295263 t=12045
bei4 	被	c=10 d=2.00432 t=12045
bei4 cheng1 wui2 	被稱爲	c=3 d=0.137381 t=12045
bei4 fen4 	備份	c=0 d=0.0891366 t=12045
bei4 gung1 shy1 	背公式	c=1 d=0.000340532 t=12045
bei4 jing3 	背景	c=1 d=0.0629761 t=12045
bei4 yun4 	備孕	c=1 d=0.194952 t=12045
bei4 yung4 	備用	c=1 d=0.985112 t=12045
bei4 zhuan3 lu1 ji1 yin1 	被轉錄基因	c=1 d=0.33454 t=12045
ben3 	本	c=5 d=0.968174 t=12045
ben3 di4 	本地	c=1 d=0.104874 t=12045
ben3 kuo1 	本科	c=1 d=0.23457 t=12045
ben3 lai2 	本來	c=2 d=0.0807976 t=12045
ben3 neng2 	本能	c=1 d=0.128735 t=12045
ben3 shen1 	本身	c=7 d=1.11054 t=12045
ben3 zhuo2 	本着	c=1 d=0.0742736 t=12045
ben3 zuo1 	本作	c=-1 d=0 t=12045
bi1 	壁	c=0 d=0.0546074 t=12045
bi1 bu1 keo3 shau3 	必不可少	c=1 d=0.0575558 t=12045
bi1 jing4 	畢竟	c=1 d=0.0137736 t=12045
bi1 rhan3 	必然	c=1 d=0.937067 t=12045
bi1 siu1 	必須	c=3 d=0.729458 t=12045
bi1 siu1 le1 	必須的	c=1 d=0.0564161 t=12045
bi1 yau1 	必要	c=1 d=0.677057 t=12045
bi1 yau1 tiau2 jan4 	必要條件	c=1 d=0.843665 t=12045
bi1 ye1 	畢業	c=2 d=0.67032 t=12045
bi1 ye1 zheng4 	畢業證	c=2 d=0.3828 t=12045
bi2 duo4 an4 	吡哆胺	c=1 d=0.0315873 t=12045
bi2 duo4 chun2 	吡哆醇	c=1 d=0.031117 t=12045
bi3 	比	c=10 d=0.697676 t=12045
bi3 jau4 	比較	c=21 d=2.59152 t=12045
bi3 jau4 da4 	比較大	c=1 d=0.0181334 t=12045
bi3 li4 	比例	c=1 d=0.0466538 t=12045
bi3 ni3 	比你	c=1 d=0.227638 t=12045
bi3 rhu2 	比如	c=11 d=1.6841 t=12045
bi4 kung1 	蔽空	c=1 d=0.00909528 t=12045
bi4 mian3 	避免	c=2 d=0.856415 t=12045
bi4 mian3 hun4 xau2 	避免混淆	c=1 d=0.847894 t=12045
bian1 ju3 	邊距	c=1 d=0.396531 t=12045
bian1 ma3 	編碼	c=4 d=1.27451 t=12045
bian1 ma3 ji1 yin1 	編碼基因	c=2 d=1.06954 t=12045
bian1 ma3 lian2 	編碼鏈	c=2 d=0.860708 t=12045
bian1 ma3 qu1 	編碼區	c=0 d=0.0168638 t=12045
